sortedmods_interest
                       lhs op                    rhs     mi    epc sepc.lv sepc.all sepc.nox
203 effectiveness_scale_19 ~~                ea_book  1.887 -0.173  -0.173   -0.188   -0.188
180   ea_attitudes_scale_5 ~~                ea_book  1.843 -0.175  -0.175   -0.172   -0.172
121   ea_attitudes_scale_1 ~~          ea_newsletter  1.827 -0.180  -0.180   -0.281   -0.281
117   ea_attitudes_scale_1 ~~ effectiveness_scale_15  1.810 -0.165  -0.165   -0.156   -0.156
175   ea_attitudes_scale_5 ~~ effectiveness_scale_15  1.716  0.188   0.188    0.145    0.145
133   ea_attitudes_scale_2 ~~ effectiveness_scale_15  1.647 -0.153  -0.153   -0.131   -0.131
213  effectiveness_scale_4 ~~                ea_book  1.643 -0.156  -0.156   -0.187   -0.187
156   ea_attitudes_scale_4 ~~   ea_attitudes_scale_5  1.635 -0.274  -0.274   -0.215   -0.215
104               behavior =~  effectiveness_scale_5  1.540 -0.132  -0.100   -0.059   -0.059
118   ea_attitudes_scale_1 ~~ effectiveness_scale_18  1.519 -0.167  -0.167   -0.167   -0.167
131   ea_attitudes_scale_2 ~~  effectiveness_scale_5  1.491 -0.171  -0.171   -0.112   -0.112
218  effectiveness_scale_5 ~~ effectiveness_scale_18  1.477  0.331   0.331    0.266    0.266
204 effectiveness_scale_19 ~~          pledge_give10  1.456 -0.153  -0.153   -0.183   -0.183
115   ea_attitudes_scale_1 ~~  effectiveness_scale_5  1.436 -0.185  -0.185   -0.133   -0.133
259                ea_book ~~          change_career  1.379 -0.115  -0.115   -0.225   -0.225
141   ea_attitudes_scale_3 ~~   ea_attitudes_scale_4  1.343 -0.283  -0.283   -0.261   -0.261
216  effectiveness_scale_5 ~~  effectiveness_scale_6  1.335 -0.290  -0.290   -0.215   -0.215
192   ea_attitudes_scale_7 ~~                ea_book  1.331 -0.164  -0.164   -0.131   -0.131
91               effective =~            ea_interest  1.302 -0.096  -0.102   -0.057   -0.057
228  effectiveness_scale_6 ~~            ea_interest  1.258 -0.193  -0.193   -0.161   -0.161
202 effectiveness_scale_19 ~~          ea_newsletter  1.191 -0.155  -0.155   -0.220   -0.220
162   ea_attitudes_scale_4 ~~ effectiveness_scale_15  1.183  0.156   0.156    0.158    0.158
229  effectiveness_scale_6 ~~          ea_newsletter  1.179 -0.156  -0.156   -0.251   -0.251
99                behavior =~   ea_attitudes_scale_4  1.152  0.307   0.234    0.146    0.146
87               effective =~   ea_attitudes_scale_4  1.128  0.074   0.079    0.049    0.049
129   ea_attitudes_scale_2 ~~ effectiveness_scale_19  1.109 -0.138  -0.138   -0.102   -0.102
158   ea_attitudes_scale_4 ~~ effectiveness_scale_19  1.097  0.174   0.174    0.151    0.151
179   ea_attitudes_scale_5 ~~          ea_newsletter  1.001 -0.153  -0.153   -0.195   -0.195
144   ea_attitudes_scale_3 ~~ effectiveness_scale_19  0.958  0.158   0.158    0.123    0.123
105               behavior =~  effectiveness_scale_6  0.939  0.100   0.076    0.049    0.049
152   ea_attitudes_scale_3 ~~          ea_newsletter  0.926 -0.144  -0.144   -0.215   -0.215
190   ea_attitudes_scale_7 ~~            ea_interest  0.844  0.221   0.221    0.119    0.119
120   ea_attitudes_scale_1 ~~            ea_interest  0.820 -0.183  -0.183   -0.148   -0.148
233 effectiveness_scale_15 ~~ effectiveness_scale_18  0.788 -0.191  -0.191   -0.201   -0.201
103               behavior =~  effectiveness_scale_4  0.783 -0.088  -0.067   -0.044   -0.044
106               behavior =~ effectiveness_scale_15  0.771  0.079   0.060    0.043    0.043
173   ea_attitudes_scale_5 ~~  effectiveness_scale_5  0.751  0.144   0.144    0.085    0.085
258                ea_book ~~          pledge_give10  0.749  0.078   0.078    0.139    0.139
193   ea_attitudes_scale_7 ~~          pledge_give10  0.739 -0.124  -0.124   -0.108   -0.108
130   ea_attitudes_scale_2 ~~  effectiveness_scale_4  0.688 -0.108  -0.108   -0.088   -0.088
164   ea_attitudes_scale_4 ~~           ea_agreement  0.675 -0.124  -0.124   -0.112   -0.112
86               effective =~   ea_attitudes_scale_3  0.673  0.055   0.059    0.037    0.037
208  effectiveness_scale_4 ~~ effectiveness_scale_15  0.667 -0.167  -0.167   -0.158   -0.158
76               expansive =~ effectiveness_scale_15  0.655  0.049   0.050    0.036    0.036
244 effectiveness_scale_18 ~~          pledge_give10  0.639 -0.099  -0.099   -0.145   -0.145
160   ea_attitudes_scale_4 ~~  effectiveness_scale_5  0.596 -0.126  -0.126   -0.098   -0.098
189   ea_attitudes_scale_7 ~~           ea_agreement  0.589  0.122   0.122    0.069    0.069
96                behavior =~   ea_attitudes_scale_1  0.572 -0.187  -0.142   -0.097   -0.097
140   ea_attitudes_scale_2 ~~          change_career  0.561  0.092   0.092    0.121    0.121
182   ea_attitudes_scale_5 ~~          change_career  0.560  0.099   0.099    0.118    0.118
253            ea_interest ~~          pledge_give10  0.558 -0.123  -0.123   -0.147   -0.147
177   ea_attitudes_scale_5 ~~           ea_agreement  0.548 -0.102  -0.102   -0.071   -0.071
136   ea_attitudes_scale_2 ~~            ea_interest  0.520 -0.143  -0.143   -0.105   -0.105
178   ea_attitudes_scale_5 ~~            ea_interest  0.513  0.154   0.154    0.102    0.102
225  effectiveness_scale_6 ~~ effectiveness_scale_15  0.506  0.157   0.157    0.152    0.152
186   ea_attitudes_scale_7 ~~  effectiveness_scale_6  0.504 -0.118  -0.118   -0.072   -0.072
231  effectiveness_scale_6 ~~          pledge_give10  0.485 -0.087  -0.087   -0.118   -0.118
109   ea_attitudes_scale_1 ~~   ea_attitudes_scale_3  0.478  0.153   0.153    0.132    0.132
145   ea_attitudes_scale_3 ~~  effectiveness_scale_4  0.473  0.104   0.104    0.089    0.089
230  effectiveness_scale_6 ~~                ea_book  0.422 -0.081  -0.081   -0.099   -0.099
154   ea_attitudes_scale_3 ~~          pledge_give10  0.406  0.084   0.084    0.107    0.107
163   ea_attitudes_scale_4 ~~ effectiveness_scale_18  0.384 -0.092  -0.092   -0.099   -0.099
78               expansive =~           ea_agreement  0.379 -0.088  -0.091   -0.067   -0.067
221  effectiveness_scale_5 ~~          ea_newsletter  0.368 -0.090  -0.090   -0.114   -0.114
73               expansive =~  effectiveness_scale_4  0.365 -0.040  -0.041   -0.027   -0.027
183   ea_attitudes_scale_7 ~~ effectiveness_scale_19  0.344 -0.099  -0.099   -0.053   -0.053
72               expansive =~ effectiveness_scale_19  0.339  0.040   0.041    0.026    0.026
147   ea_attitudes_scale_3 ~~  effectiveness_scale_6  0.336  0.092   0.092    0.081    0.081
 [ reached 'max' / getOption("max.print") -- omitted 64 rows ]
